Date,Day,Movement0D,Movement1D,Movement1W,Movement1M,Movement3M,Movement6M,Movement9M,Movement12M,BitcoinDate,Bitcoin1D,Bitcoin1W,Bitcoin1M,Bitcoin3M,Bitcoin6M,Bitcoin9M,Bitcoin12M,BitcoinCloseDate,BitcoinClose1W,BitcoinClose1M,BitcoinClose3M,BitcoinClose6M,BitcoinClose9M,BitcoinClose12M,BitcoinVolumeDate,BitcoinVolume1W,BitcoinVolume1M,BitcoinVolume3M,BitcoinVolume6M,BitcoinVolume9M,BitcoinVolume12M,SPYDate,SPY1W,SPY1M,SPY3M,SPY6M,SPY9M,SPY12M,CLDate,CL1W,CL1M,CL3M,CL6M,CL9M,CL12M,CornDate,Corn1W,Corn1M,Corn3M,Corn6M,Corn9M,Corn12M,WheatDate,Wheat1W,Wheat1M,Wheat3M,Wheat6M,Wheat9M,Wheat12M,Soybeans,Soybeans1W,Soybeans1M,Soybeans3M,Soybeans6M,Soybeans9M,Soybeans12M,GoldDate,Gold1W,Gold1M,Gold3M,Gold6M,Gold9M,Gold12M,CopperDate,Copper1W,Copper1M,Copper3M,Copper6M,Copper9M,Copper12M,sgdusdDate,sgdusd1W,sgdusd1M,sgdusd3M,sgdusd6M,sgdusd9M,sgdusd12M,Sentiment,BitcoinDateLog,Bitcoin1DLog,Bitcoin1WLog,Bitcoin1MLog,Bitcoin3MLog,Bitcoin6MLog,Bitcoin9MLog,Bitcoin12MLog,BitcoinCloseDateLog,BitcoinClose1WLog,BitcoinClose1MLog,BitcoinClose3MLog,BitcoinClose6MLog,BitcoinClose9MLog,BitcoinClose12MLog,BitcoinVolumeDateLog,BitcoinVolume1WLog,BitcoinVolume1MLog,BitcoinVolume3MLog,BitcoinVolume6MLog,BitcoinVolume9MLog,BitcoinVolume12MLog,SPYDateLog,SPY1WLog,SPY1MLog,SPY3MLog,SPY6MLog,SPY9MLog,SPY12MLog,CLDateLog,CL1WLog,CL1MLog,CL3MLog,CL6MLog,CL9MLog,CL12MLog,CornDateLog,Corn1WLog,Corn1MLog,Corn3MLog,Corn6MLog,Corn9MLog,Corn12MLog,WheatDateLog,Wheat1WLog,Wheat1MLog,Wheat3MLog,Wheat6MLog,Wheat9MLog,Wheat12MLog,SoybeansLog,Soybeans1WLog,Soybeans1MLog,Soybeans3MLog,Soybeans6MLog,Soybeans9MLog,Soybeans12MLog,GoldDateLog,Gold1WLog,Gold1MLog,Gold3MLog,Gold6MLog,Gold9MLog,Gold12MLog,CopperDateLog,Copper1WLog,Copper1MLog,Copper3MLog,Copper6MLog,Copper9MLog,Copper12MLog,sgdusdDateLog,sgdusd1WLog,sgdusd1MLog,sgdusd3MLog,sgdusd6MLog,sgdusd9MLog,sgdusd12MLog
17-09-2015,Thursday,0,1,0,0,0,0,0,0,229.076004,227.089,238.3359985,257.9259949,249.4279938,285.0669861,321.0679932,465.8640137,229.8099976,238.477005,211.0789948,249.0070038,256.2990112,331.8859863,457.3340149,18935400,21215500,42147200,30980200,57008000,22315100,21056800,1995.329956,1941.589966,2101.98999,2101.580078,2072.840088,2069.280029,1999.300049,47.13000107,44.15999985,41.88000107,59.77999878,42.50999832,57.75,94.70999908,385.25,356,363,359,371.5,409.75,343.25,488.25,462.75,499.5,491.5,503,629.5,496,886.75,882.75,925.25,967,954.5,1029,980,1118.599976,1107.300049,1118.199951,1183.400024,1148.699951,1198,1236.199951,2.463000059,2.430000067,2.295000076,2.652499914,2.631500006,2.92050004,3.149499893,0.715983629,0.703789234,0.710681558,0.748278916,0.720160186,0.760236621,0.793449342,0.02,2.359979599,2.356196098,2.377189644,2.411495114,2.396945194,2.454946924,2.506597014,2.668259164,2.361368918,2.377446509,2.324445017,2.396211563,2.408746931,2.520988915,2.660233504,7.277274484,7.326653272,7.624768728,7.491084217,7.755935805,7.348598837,7.323392372,3.300014723,3.288157519,3.322630644,3.322545943,3.316565799,3.315819266,3.300877977,1.67329745,1.645029063,1.622006684,1.776555902,1.628491088,1.761551989,1.976395832,2.585742647,2.551449998,2.559906625,2.555094449,2.569958818,2.612518962,2.535610546,2.688642252,2.665346427,2.698535493,2.691523522,2.701567985,2.798995734,2.695481676,2.947801197,2.945837726,2.966259094,2.985426474,2.979775933,3.012415375,2.991226076,3.048674806,3.044265319,3.048519469,3.073131574,3.060206603,3.078456818,3.092088722,0.391464422,0.385606286,0.360782704,0.423655378,0.420203375,0.465457217,0.498241598,-0.145096908,-0.152557381,-0.148324954,-0.125936492,-0.142570892,-0.119051214,-0.100480796
18-09-2015,Friday,1,1,0,1,0,0,0,0,233.5209961,229.076004,238.3289948,225.6710052,249.0429993,255.8800049,332.0169983,456.8599854,232.9750061,240.1069946,226.6840057,244.6060028,260.928009,334.571991,424.4400024,20242200,19224700,60869200,23965300,52732000,16574200,34483200,1989.660034,1951.449951,2095.689941,2121.060059,2098.689941,2081.47998,2003.069946,46.88999939,45.70999908,42.40999985,60.5,44.59999847,55.38999939,93.97000122,380,361.75,366,357.75,377.5,411,341,481.25,468.5,495,487.5,516,625,496.25,883.75,886,913,976,969.25,1036.5,982.5,1128.300049,1110.800049,1117,1199.699951,1171.599976,1179.300049,1216.199951,2.469500065,2.463500023,2.289999962,2.625,2.632499933,2.885999918,3.127000093,0.716409385,0.707849324,0.712220252,0.749400437,0.725857973,0.757903039,0.788189709,0.01,2.368325934,2.359979599,2.377176881,2.353475763,2.396274338,2.40803635,2.521160319,2.659783122,2.367309332,2.380404812,2.355420878,2.388467111,2.4165207,2.524489581,2.627816308,7.306257712,7.283859571,7.784397594,7.37958287,7.722074243,7.219432575,7.537607561,3.298778876,3.290357417,3.321327029,3.326552966,3.321948281,3.318372238,3.301696115,1.671080227,1.660011213,1.627468271,1.781755375,1.649334844,1.74343136,1.972989232,2.579783597,2.55840854,2.563481085,2.553579642,2.576916956,2.613841822,2.532754379,2.682370743,2.670709595,2.694605199,2.68797462,2.712649702,2.795880017,2.69570052,2.946329427,2.947433722,2.960470778,2.989449818,2.98643581,3.015569306,2.992332559,3.052424607,3.04563589,3.048053173,3.079072641,3.068779354,3.071624317,3.085004982,0.392609042,0.391552571,0.359835475,0.419129308,0.420368369,0.460296314,0.495127894,-0.144838734,-0.150059178,-0.147385681,-0.125286058,-0.139148348,-0.120386352,-0.10336924
21-09-2015,Monday,1,0,1,1,0,0,0,0,231.2169952,233.5209961,230.6089935,226.8990021,243.9689941,260.9559937,334.3850098,424.1029968,227.0850067,230.6439972,235.3500061,246.9900055,261.7489929,322.5339966,394.79599,19678800,20997800,32275000,17692500,18456700,15092300,37919700,1960.839966,1963.060059,2076.610107,2112.5,2090.320068,2083.25,2012.73999,44.97000122,44.77999878,40.58000183,59.43999863,43.99000168,56.79999924,92.97000122,376.5,377.5,367,352.75,373.5,413.5,338,485.75,483.75,495.25,487.75,511,636.5,487.75,868,887.25,904.75,972.5,961.75,1036.5,971.25,1137.599976,1107.800049,1132.800049,1197.800049,1171,1177,1218.300049,2.385499954,2.442500114,2.318000078,2.592999935,2.700000048,2.894999981,3.088000059,0.714122474,0.708285511,0.713612914,0.749288201,0.721334159,0.754620135,0.788892329,0.04,2.364019753,2.368325934,2.36287624,2.355832586,2.387334636,2.416567276,2.5242468,2.627471341,2.356188461,2.362942156,2.371714214,2.39267938,2.417885019,2.508575498,2.596372733,7.293998612,7.322173795,7.508866251,7.247789204,7.266154053,7.178755429,7.578864893,3.29244215,3.292933587,3.317354963,3.324796718,3.32021279,3.31874139,3.303787675,1.652922899,1.651084077,1.608312062,1.774078791,1.643353979,1.75434833,1.968342837,2.575764981,2.576916956,2.564666064,2.547467022,2.572290606,2.616475514,2.5289167,2.686412809,2.684620978,2.694824484,2.688197278,2.7084209,2.803798408,2.688197278,2.938519725,2.948046008,2.956528592,2.98788961,2.983062195,3.015569306,2.987331032,3.055989574,3.04446138,3.054153259,3.078384327,3.068556895,3.070776463,3.085754262,0.377579413,0.387834593,0.365113446,0.413802506,0.431363772,0.461648565,0.4896773,-0.146227299,-0.149791642,-0.146537299,-0.125351106,-0.141863501,-0.122271611,-0.102982267
22-09-2015,Tuesday,0,0,0,0,0,0,0,0,226.9689941,231.2169952,230.4920044,235.3549957,246.927002,267.894989,319.1520081,399.1000061,230.6179962,230.3040009,232.5690002,244.2960052,266.7399902,327.9240112,402.1520081,25009300,19177800,23173800,15108700,22811900,16410500,24127600,1961.390015,1955.099976,2034.079956,2123.159912,2107.98999,2084.300049,2009.079956,46.45000076,44.11000061,41.02999878,60.20999908,46.40999985,55.86000061,92.22000122,384,392.75,370.25,361,385,410.25,331,496.5,500,504,501.75,533.25,614.5,476.25,871.25,886.5,920,989.5,974.5,1028.5,953,1132.599976,1104.5,1154.099976,1183.800049,1181.599976,1177.199951,1214.900024,2.390000105,2.420000076,2.313999891,2.592999935,2.800499916,2.875999928,3.059000015,0.709703088,0.711647511,0.71273303,0.748648703,0.725778937,0.756086469,0.789883137,0.04,2.355966533,2.364019753,2.362655865,2.371723421,2.392568584,2.42796459,2.503997581,2.601081734,2.362893194,2.362301483,2.366551826,2.387916365,2.426088131,2.515773218,2.604390242,7.398101536,7.282798785,7.364997254,7.179227098,7.358161459,7.215121813,7.382514124,3.29256396,3.29116897,3.30836802,3.326982706,3.323868544,3.318960239,3.302997221,1.666985725,1.644537064,1.613101504,1.779668621,1.666611567,1.747100936,1.964825124,2.584331224,2.594116194,2.568495067,2.557507202,2.58546073,2.61304859,2.519827994,2.695919253,2.698970004,2.702430536,2.700487381,2.726930864,2.788521887,2.677834989,2.940142791,2.94767874,2.963787827,2.995415799,2.988781843,3.012204296,2.979092901,3.054076548,3.04316572,3.062243432,3.073278354,3.072470473,3.070850235,3.084540541,0.37839792,0.38381538,0.364363334,0.413802506,0.447235564,0.458788871,0.485579479,-0.148923305,-0.147735065,-0.147073114,-0.125721923,-0.13919564,-0.121428534,-0.102437158
23-09-2015,Wednesday,1,1,1,1,0,0,0,0,230.9360046,226.9689941,230.25,228.1119995,244.2819977,266.5769958,317.7009888,402.0920105,230.2830048,229.0910034,210.4949951,240.5149994,245.5950012,312.6700134,435.7909851,17254100,20144200,59220700,17344900,40073700,12302500,45099500,1943.23999,1978.02002,1965.150024,2123.649902,2103.939941,2087.629883,1992.780029,46.54000092,45.15999985,40.29999924,61.13999939,47.45999908,55.04999924,90.69999695,379.5,390,365,367,389.25,414,329.5,494.5,494.75,498.75,522.25,531.25,611.75,475.5,861.25,889,899.5,987.25,983.75,1045.75,936,1128.599976,1109.800049,1164,1176.599976,1188,1186.5,1221,2.30250001,2.430000067,2.270999908,2.650000095,2.880000114,2.855499983,3.056499958,0.705442488,0.713012457,0.707093537,0.745945811,0.7311064,0.75562942,0.787966132,0.02,2.363491648,2.355966533,2.362199639,2.358148131,2.387891463,2.425822669,2.502018567,2.604325444,2.362261888,2.360008034,2.323241774,2.381142166,2.390219523,2.495086232,2.639278242,7.236892311,7.304150025,7.772473537,7.2391718,7.602859443,7.089993374,7.654171727,3.288526439,3.296230683,3.293395711,3.327082922,3.323033338,3.319653505,3.299459362,1.667826388,1.654753932,1.605305038,1.78632543,1.676327725,1.740757317,1.957607272,2.57921178,2.591064607,2.562292864,2.564666064,2.590228621,2.617000341,2.517855419,2.694166296,2.694385803,2.697882909,2.717878449,2.725298943,2.786573978,2.677150521,2.935129235,2.948901761,2.954001168,2.994427142,2.992884745,3.019427873,2.971275849,3.052540037,3.04524474,3.06595298,3.070628835,3.074816441,3.074267743,3.086715664,0.362199641,0.385606286,0.356217117,0.42324589,0.459392505,0.455682162,0.485224394,-0.151538387,-0.146902883,-0.150523132,-0.127292721,-0.136019414,-0.121691141,-0.103492449
25-09-2015,Friday,0,1,1,1,0,0,0,0,234.3619995,230.9360046,229.076004,222.076004,242.6040039,246.276001,310.9140015,423.1560059,235.1439972,229.8099976,225.8309937,243.5939941,248.5319977,320.1929932,411.5740051,22363600,18935400,31808000,13983500,25730000,13942900,26814400,1935.930054,1995.329956,1872.75,2102.620117,2059.939941,2082.110107,1997.319946,45.04999924,47.13000107,39.68999863,59.65999985,49.02000046,53.86999893,92.88999939,381.25,385.25,365.25,376,394,406,329.25,497.75,488.25,498,532,519,601.5,480.25,869,886.75,893.25,999,977,1035.5,936,1149.800049,1118.599976,1139.199951,1170.5,1198.199951,1199.199951,1209.5,2.309000015,2.463000059,2.302000046,2.644999981,2.849999905,2.861500025,3.062000036,0.701990843,0.715983629,0.712377608,0.744562805,0.729873717,0.756807506,0.788767934,0.01,2.369887195,2.363491648,2.359979599,2.346501634,2.384897964,2.391422093,2.49264028,2.626500509,2.371333896,2.361368918,2.353783546,2.386666576,2.395382311,2.505411824,2.614447937,7.349541716,7.277274484,7.502536363,7.145615887,7.410439786,7.144353113,7.428368084,3.286889662,3.300014723,3.272479806,3.322760815,3.313854558,3.318503692,3.300447639,1.653694788,1.67329745,1.598681084,1.775683248,1.690373311,1.731346967,1.96796896,2.581209852,2.585742647,2.562590225,2.575187845,2.595496222,2.608526034,2.517525784,2.697011269,2.688642252,2.697229343,2.725911632,2.715167358,2.779235632,2.681467374,2.939019776,2.947801197,2.950973025,2.999565488,2.989894564,3.015150103,2.971275849,3.060622323,3.048674806,3.056599958,3.068371418,3.078529297,3.078891602,3.082605873,0.363423936,0.391464422,0.362105328,0.422425673,0.454844846,0.456593754,0.486005191,-0.153668553,-0.145096908,-0.14728974,-0.128098663,-0.136752275,-0.121014569,-0.103050753
28-09-2015,Monday,0,0,0,1,0,0,0,0,232.8359985,234.3619995,233.5209961,226.0500031,248.720993,248.5659943,314.07901,411.4289856,239.1419983,232.9750061,224.7689972,257.0639954,247.029007,315.0320129,404.4249878,24713000,20242200,21905400,34742900,17274900,7860650,21460800,1929.180054,1989.660034,1942.77002,2098.629883,2055.780029,2058.899902,1966.219971,45.38000107,46.88999939,38.95999908,58.84000015,51.00999832,53.75999832,92.47000122,388.75,380,362.5,383.75,391,396.25,326,508.5,481.25,490.25,557,499,589.75,472.75,888,883.75,879.5,997.25,974,1017.75,922,1133.199951,1128.300049,1127.199951,1185.099976,1197,1184,1214.099976,2.289999962,2.469500065,2.299000025,2.637500048,2.818000078,2.842000008,3.066999912,0.701508224,0.716409385,0.712199986,0.738143563,0.730086923,0.755344093,0.787792385,0.04,2.367050127,2.369887195,2.368325934,2.354204517,2.395712443,2.395441714,2.497038913,2.614294885,2.378655854,2.367309332,2.351736408,2.410041253,2.392747953,2.498354688,2.606837981,7.392925469,7.306257712,7.340551188,7.540866066,7.237415542,6.895458459,7.331645907,3.285372763,3.298778876,3.288421393,3.321935853,3.312976643,3.313635233,3.293632103,1.656864502,1.671080227,1.590618938,1.769672665,1.707655309,1.730459246,1.966000863,2.589670402,2.579783597,2.559308011,2.584048388,2.592176757,2.597969275,2.5132176,2.706290957,2.682370743,2.690417602,2.745855195,2.698100546,2.77066795,2.674631538,2.948412966,2.946329427,2.944235844,2.998804045,2.988558957,3.007641111,2.964730921,3.054306547,3.052424607,3.052000961,3.073754989,3.07809415,3.073351702,3.084254451,0.359835475,0.392609042,0.361538976,0.421192476,0.449941001,0.453624075,0.486713764,-0.153967233,-0.144838734,-0.147398039,-0.131859163,-0.13662543,-0.121855163,-0.103588222
29-09-2015,Tuesday,1,1,1,1,0,0,0,0,239.0160065,232.8359985,231.2169952,224.701004,257.0360107,242.8789978,265.0840149,376.928009,236.6869965,227.0850067,231.3959961,263.071991,247.526001,274.473999,375.4670105,22691300,19678800,31336600,44533800,23009600,43962800,32497700,1881.900024,1960.839966,1986.060059,2061.189941,2064.110107,2054.439941,1978.959961,44.5,44.97000122,42.68000031,58.27000046,48.56999969,52.61000061,93.34999847,387.25,376.5,362.5,383.25,391.5,395.75,322.25,506,485.75,484.75,581,513.25,579.75,470.75,876.25,868,887.25,1000.5,968,1002.5,907.25,1132.199951,1137.599976,1125.300049,1176.300049,1198,1180.300049,1216.300049,2.240499973,2.385499954,2.335500002,2.638000011,2.765500069,2.82949996,3.01699996,0.69833374,0.714122474,0.714336753,0.742473185,0.730065584,0.749568999,0.784036994,0.04,2.378426986,2.367050127,2.364019753,2.351605013,2.409993972,2.385389962,2.42338354,2.57625841,2.374174399,2.356188461,2.36435584,2.420074612,2.393620825,2.43850121,2.574571785,7.355859378,7.293998612,7.496051874,7.648689754,7.361909069,7.643085345,7.511852625,3.274596548,3.29244215,3.297992378,3.314118014,3.31473286,3.31269345,3.296437007,1.648360011,1.652922899,1.630224414,1.765445022,1.686368101,1.721068307,1.970114315,2.587991426,2.575764981,2.559308011,2.583482164,2.592731766,2.597420924,2.508192926,2.704150517,2.686412809,2.685517818,2.764176132,2.710328958,2.763240757,2.672790329,2.942628031,2.938519725,2.948046008,3.000217093,2.985875357,3.001084381,2.957726977,3.053923132,3.055989574,3.051268338,3.070518115,3.078456818,3.071992425,3.085040724,0.350344943,0.377579413,0.368379872,0.421274793,0.441773674,0.451709692,0.479575304,-0.155936975,-0.146227299,-0.146097005,-0.129319227,-0.136638124,-0.125188383,-0.105663445
30-09-2015,Wednesday,1,0,1,1,0,0,0,0,236.6399994,239.0160065,226.9689941,229.1139984,263.3450012,247.4539948,274.6109924,376.0880127,236.0599976,230.6179962,230.0559998,258.6210022,244.223999,286.1889954,386.9440002,19743500,25009300,20710700,27029800,22672000,23245700,34707300,1887.140015,1961.390015,1986.72998,2067,2084.050049,2022.150024,1978.209961,44.91999817,46.45000076,45,58.97999954,48.72999954,50,94.33999634,389,384,362.25,411,394,405.5,325.5,503.25,496.5,477,611.5,531.75,588,481.25,883.5,871.25,894.25,1053.5,967,1037.5,922,1124.300049,1132.599976,1131.099976,1173.099976,1185.800049,1203.5,1214.800049,2.263000011,2.390000105,2.336999893,2.622499943,2.763000011,2.795000076,3.029000044,0.70054996,0.709703088,0.709723175,0.742148042,0.726839244,0.749507189,0.784836948,0.05,2.374088156,2.378426986,2.355966533,2.360051625,2.420525079,2.393494469,2.438717918,2.575289491,2.373022398,2.362893194,2.361833564,2.41266379,2.387788338,2.45665293,2.587648117,7.295424144,7.398101536,7.316194778,7.431842832,7.355489833,7.366342629,7.54042083,3.275804124,3.29256396,3.298138845,3.315340477,3.318908144,3.305813373,3.296272384,1.65243973,1.666985725,1.653212514,1.770704765,1.687796407,1.698970004,1.974695855,2.589949601,2.584331224,2.559008394,2.613841822,2.595496222,2.607990859,2.512550993,2.701783784,2.695919253,2.678518379,2.786396461,2.725707499,2.769377326,2.682370743,2.946206554,2.940142791,2.951458949,3.02263454,2.985426474,3.015988105,2.964730921,3.05088223,3.054076548,3.053500993,3.069335026,3.074011464,3.080446095,3.084504801,0.354684556,0.37839792,0.368658693,0.418715487,0.441380887,0.446381824,0.48129928,-0.154560887,-0.148923305,-0.148911013,-0.129509454,-0.138561632,-0.125224197,-0.10522056
01-10-2015,Thursday,0,0,1,1,0,0,0,0,236.0039978,236.6399994,230.9360046,230.2559967,258.552002,244.2230072,286.0769958,387.427002,237.548996,230.2830048,228.1210022,255.4120026,247.2720032,294.3370056,383.6149902,20488800,17254100,20575200,21551900,22877200,24866800,26229400,1919.650024,1943.23999,1970.089966,2078.030029,2067.629883,2005.550049,1971.439941,45.38000107,46.54000092,48.09999847,56.86999893,47.54999924,48,91.36000061,387.75,379.5,362.5,413,377,404.75,320.25,512,494.5,482,587.25,513,594.25,476.75,891.5,861.25,891.75,1041.75,973.25,1049.75,911,1115.199951,1128.599976,1133.5,1166.400024,1182.900024,1219.199951,1207.699951,2.341500044,2.30250001,2.335500002,2.639499903,2.749500036,2.792000055,3.003000021,0.702548146,0.705442488,0.70910418,0.739125609,0.728300273,0.749754429,0.78382194,0.04,2.37291936,2.374088156,2.363491648,2.36221095,2.412547905,2.387786575,2.456482936,2.588189886,2.375753199,2.362261888,2.358165271,2.407241302,2.393174947,2.468844867,2.583895569,7.311516523,7.236892311,7.313344065,7.333485563,7.359402869,7.395619901,7.418788356,3.283222059,3.288526439,3.294486059,3.317651819,3.3154728,3.302233504,3.294783551,1.656864502,1.667826388,1.682145063,1.75488322,1.677150514,1.681241237,1.960756094,2.588551806,2.57921178,2.559308011,2.615950052,2.57634135,2.607186857,2.505489138,2.709269961,2.694166296,2.683047038,2.768823025,2.710117365,2.77396919,2.678290702,2.950121348,2.935129235,2.950243118,3.017763509,2.988224412,3.021085883,2.959518377,3.047352742,3.052540037,3.054421524,3.06684752,3.072948041,3.086074937,3.081959049,0.36949417,0.362199641,0.368379872,0.42152165,0.43925373,0.445915423,0.477555335,-0.153323908,-0.151538387,-0.149289955,-0.13128175,-0.137689527,-0.12508096,-0.105782584
02-10-2015,Friday,0,1,1,1,0,0,0,0,237.2640076,236.0039978,230.3580017,228.0269928,271.1080017,247.0890045,294.1350098,383.9880066,237.2929993,234.529007,229.2839966,269.0299988,253.0050049,283.348999,375.071991,19677900,25097800,18760400,49154800,26272600,19982500,21777700,1921.77002,1934.810059,1916.52002,2073.949951,2060.030029,2030.609985,1945.829956,45.06999969,44.61999893,44.25999832,54.90000153,49.59000015,48.77999878,90.73999786,388,382.75,356.75,417.75,381.75,396.5,320.5,517.75,507,483.75,580,528,580,477.5,877,863,882.5,1037,988,1051.5,915.25,1112.199951,1133,1137.300049,1171.099976,1204,1207,1215.300049,2.300499916,2.315999985,2.294500113,2.602499962,2.733999968,2.796000004,3.035000086,0.698919415,0.701193452,0.707769215,0.740077436,0.733697236,0.747691512,0.786039948,0.02,2.375231862,2.37291936,2.362403302,2.35798626,2.433142336,2.39285342,2.46854672,2.58431766,2.375284926,2.370196565,2.360373743,2.42980071,2.403129112,2.452321683,2.574114634,7.293978749,7.399635654,7.273242094,7.691565933,7.419503054,7.300649822,7.338012011,3.283701414,3.286638337,3.28251336,3.316798272,3.313873551,3.307626517,3.289104885,1.653887555,1.649529556,1.646011393,1.739572357,1.69539411,1.688241785,1.957798765,2.588831726,2.582915199,2.552363982,2.620916459,2.581779046,2.598243192,2.505828034,2.714120108,2.705007959,2.684620978,2.763427994,2.722633923,2.763427994,2.678973376,2.942999593,2.936010796,2.945714714,3.015778756,2.994756945,3.021809277,2.961539738,3.046182872,3.05422991,3.055875058,3.068593972,3.080626487,3.08170727,3.084683515,0.361822222,0.364738552,0.360688083,0.415390732,0.436798505,0.446537168,0.482158708,-0.155572895,-0.154162148,-0.150108331,-0.130722837,-0.134483117,-0.12627755,-0.104555382
05-10-2015,Monday,0,1,1,1,0,0,0,0,238.1470032,237.2640076,234.3619995,229.3240051,269.9630127,260.7210083,282.3829956,375.1809998,240.3829956,235.1439972,227.1829987,266.2070007,255.4920044,290.4079895,359.5119934,23335900,22363600,17482000,28857600,20034200,18718600,30901200,1954.329956,1935.930054,1950.790039,2069.52002,2064.870117,2063.449951,1948.119995,45.65000153,45.04999924,46.11000061,52.75,49.47000122,48.91999817,91.37999725,389.25,381.25,354,412.5,386.25,394.75,322.75,512.25,497.75,473.5,587.75,537.5,568,483.25,874,869,883.75,1029,985,1044.25,924,1137.099976,1149.800049,1130.300049,1166.800049,1209.900024,1211.099976,1212.400024,2.354500055,2.309000015,2.335999966,2.544500113,2.809999943,2.803999901,3,0.698470354,0.701990843,0.706329405,0.740515828,0.741608679,0.74763,0.786163568,0.03,2.376845121,2.375231862,2.369887195,2.360449518,2.431304266,2.416176027,2.450838541,2.574240836,2.380903743,2.371333896,2.356375828,2.425219472,2.407377313,2.46300856,2.555713383,7.368024555,7.349541716,7.242591116,7.460260209,7.301772005,7.272273364,7.489975345,3.290997889,3.286889662,3.290210529,3.315869632,3.314892739,3.31459394,3.289615704,1.659440796,1.653694788,1.663795128,1.722222464,1.694341921,1.689486432,1.960851141,2.590228621,2.581209852,2.549003262,2.615423953,2.586868492,2.596322139,2.508866251,2.709481967,2.697011269,2.675319983,2.769192638,2.730378469,2.754348336,2.684171863,2.941511433,2.939019776,2.946329427,3.012415375,2.99343623,3.018804484,2.965671971,3.05579865,3.060622323,3.053193746,3.066996439,3.082749485,3.083179996,3.083645936,0.371898705,0.363423936,0.368472832,0.405602474,0.448706311,0.447777994,0.477121255,-0.155852022,-0.153668553,-0.150992713,-0.130465654,-0.129825196,-0.12631328,-0.104487086
06-10-2015,Tuesday,0,1,1,1,0,0,0,0,240.3639984,238.1470032,232.8359985,227.2149963,265.9819946,255.2740021,266.1459961,320.3890076,246.0630035,239.1419983,230.2980042,270.7850037,253.1799927,267.79599,330.07901,27535100,24713000,20962400,36980200,18467400,18880300,79011800,1986.630005,1929.180054,1947.76001,2077.659912,2080.790039,2046.130005,1970.01001,46.20000076,45.38000107,46.68000031,52.90999985,51.95000076,48.18999863,89.76999664,392.75,388.75,348,414.75,385,399,323.25,514,508.5,456.75,576,526,563,485.5,879.25,888,879.75,1008.25,977.75,1047,914,1136.300049,1133.199951,1123.400024,1152.599976,1214.800049,1224.199951,1187.699951,2.35649991,2.289999962,2.369999886,2.461999893,2.769999981,2.793499947,3.019999981,0.704017103,0.701508224,0.706254601,0.738334298,0.737310886,0.75120759,0.780396461,0.04,2.38086942,2.376845121,2.367050127,2.356436992,2.424852238,2.407006587,2.425119937,2.505677607,2.391046321,2.378655854,2.362290174,2.432624609,2.403429383,2.42780407,2.518617908,7.439886658,7.392925469,7.321441004,7.567969256,7.266405756,7.276008891,7.897691956,3.298116991,3.285372763,3.289535445,3.31757446,3.31822826,3.310933224,3.294468433,1.664641983,1.656864502,1.66913085,1.72353776,1.715585558,1.682956914,1.953131209,2.594116194,2.589670402,2.541579244,2.617786395,2.58546073,2.600972896,2.509538534,2.710963119,2.706290957,2.659678556,2.760422483,2.720985744,2.750508395,2.686189234,2.944112377,2.948412966,2.944359276,3.003568231,2.990227825,3.019946682,2.960946196,3.055493025,3.054306547,3.050534429,3.061678606,3.084504801,3.087852358,3.074706739,0.372267428,0.359835475,0.374748325,0.39128803,0.442479766,0.446148667,0.48000694,-0.15241679,-0.153967233,-0.15103871,-0.131746957,-0.132349354,-0.124240033,-0.107684709
07-10-2015,Wednesday,1,1,1,1,0,0,0,0,246.1699982,240.3639984,239.0160065,239.845993,270.8269958,253.0639954,267.3940125,330.5840149,242.9689941,236.6869965,243.6069946,269.2279968,245.0220032,225.8609924,336.1870117,22999200,22691300,26879200,40301200,30086400,72843904,49199900,1982.339966,1881.900024,1927.300049,2049.72998,2076.939941,2031.579956,1962.359985,49,44.5,45.81999969,51.83000183,53.18000031,45.68999863,90.44999695,397.5,387.25,354.25,416.5,383.25,402,331.75,525.75,506,456.75,577.75,528,555.5,491.5,887.25,876.25,884,1008.75,971,1017.5,941,1147.599976,1132.199951,1119.800049,1154.800049,1208.900024,1239.199951,1209.099976,2.363500118,2.240499973,2.325999975,2.5,2.762000084,2.759500027,3.027499914,0.703729749,0.69833374,0.700849473,0.740214348,0.735310376,0.748996377,0.783711374,0.03,2.391235122,2.38086942,2.378426986,2.379932467,2.432691952,2.40323036,2.427151678,2.51928185,2.385550856,2.374174399,2.386689754,2.43012022,2.389205086,2.353841232,2.526580931,7.36171273,7.355859378,7.429416339,7.605317978,7.478370225,7.862393213,7.69196422,3.297178137,3.274596548,3.284949332,3.311696653,3.317423938,3.307833919,3.292778679,1.69019608,1.648360011,1.661055082,1.714581224,1.725748336,1.659821145,1.956408557,2.599337133,2.587991426,2.549309859,2.619615006,2.583482164,2.604226053,2.520810932,2.720779281,2.704150517,2.659678556,2.761739954,2.722633923,2.744684063,2.691523522,2.948046008,2.942628031,2.946452265,3.003783548,2.98721923,3.007534418,2.973589623,3.05979053,3.053923132,3.049140482,3.062506794,3.082390386,3.093141388,3.082462213,0.373555628,0.350344943,0.366609706,0.397940009,0.441223687,0.440830403,0.481084139,-0.15259409,-0.155936975,-0.154375249,-0.130642501,-0.133529306,-0.125520283,-0.10584385
