Dates,Open,High,Low,Close,,
19-04-2022,40828.17578,41672.96094,40618.63281,41502.75,,
20-04-2022,41501.74609,42126.30078,40961.09766,41374.37891,,
21-04-2022,41371.51563,42893.58203,40063.82813,40527.36328,,
22-04-2022,40525.86328,40777.75781,39315.41797,39740.32031,,
23-04-2022,39738.72266,39935.85938,39352.20313,39486.73047,,
24-04-2022,39478.375,39845.92578,39233.53906,39469.29297,,
25-04-2022,39472.60547,40491.75391,38338.37891,40458.30859,,
26-04-2022,40448.42188,40713.89063,37884.98438,38117.46094,,
27-04-2022,38120.30078,39397.91797,37997.3125,39241.12109,,
28-04-2022,39241.42969,40269.46484,38941.42188,39773.82813,,
29-04-2022,39768.61719,39887.26953,38235.53516,38609.82422,,
30-04-2022,38605.85938,38771.21094,37697.94141,37714.875,,
01-05-2022,37713.26563,38627.85938,37585.78906,38469.09375,,
02-05-2022,38472.1875,39074.97266,38156.5625,38529.32813,,
03-05-2022,38528.10938,38629.99609,37585.62109,37750.45313,,
04-05-2022,37748.01172,39902.94922,37732.05859,39698.37109,,
05-05-2022,39695.74609,39789.28125,35856.51563,36575.14063,,
06-05-2022,36573.18359,36624.35938,35482.13281,36040.92188,,
07-05-2022,36042.50391,36129.92578,34940.82422,35501.95313,,
08-05-2022,35502.94141,35502.94141,33878.96484,34059.26563,,
09-05-2022,34060.01563,34222.07422,30296.95313,30296.95313,,
10-05-2022,30273.6543,32596.30859,29944.80273,31022.90625,,
11-05-2022,31016.18359,32013.40234,28170.41406,28936.35547,,
12-05-2022,28936.73438,30032.43945,26350.49023,29047.75195,,
13-05-2022,29030.91016,30924.80273,28782.33008,29283.10352,,
14-05-2022,29285.64258,30192.80273,28702.91016,30101.26563,,
15-05-2022,30098.58594,31308.19141,29527.74023,31305.11328,,
16-05-2022,31304.375,31305.3418,29251.88477,29862.91797,,
17-05-2022,29862.4082,30694.49023,29570.30273,30425.85742,,
18-05-2022,30424.47852,30618.7168,28720.27148,28720.27148,,
19-05-2022,28720.35938,30430.75195,28708.95508,30314.33398,,
20-05-2022,30311.11914,30664.97656,28793.60547,29200.74023,,
21-05-2022,29199.85938,29588.86914,29027.39453,29432.22656,,
22-05-2022,29432.47266,30425.86133,29275.18359,30323.72266,,
23-05-2022,30309.39648,30590.58594,28975.56055,29098.91016,,
24-05-2022,29101.125,29774.35547,28786.58984,29655.58594,,
25-05-2022,29653.13477,30157.78516,29384.94922,29562.36133,,
26-05-2022,29564.77734,29834.16016,28261.90625,29267.22461,,
27-05-2022,29251.14063,29346.94336,28326.61328,28627.57422,,
28-05-2022,28622.625,28814.90039,28554.56641,28814.90039,,
29-05-2022,29019.86719,29498.00977,28841.10742,29445.95703,,
30-05-2022,29443.36523,31949.63086,29303.57227,31726.39063,,
31-05-2022,31723.86523,32249.86328,31286.1543,31792.31055,,
01-06-2022,31792.55469,31957.28516,29501.58789,29799.08008,,
02-06-2022,29794.89063,30604.73438,29652.70508,30467.48828,,
03-06-2022,30467.80664,30633.03516,29375.68945,29704.39063,,
04-06-2022,29706.13867,29930.56445,29500.00586,29832.91406,,
05-06-2022,29835.11719,30117.74414,29574.44922,29906.66211,,
06-06-2022,29910.2832,31693.29102,29894.1875,31370.67188,,
07-06-2022,31371.74219,31489.68359,29311.68359,31155.47852,,
08-06-2022,31151.48047,31253.69141,29944.4043,30214.35547,,
09-06-2022,30215.2793,30609.31055,30020.26563,30111.99805,,
10-06-2022,30110.33008,30245.80859,28978.14648,29083.80469,,
11-06-2022,29084.66602,29401.91602,28236.21289,28360.81055,,
12-06-2022,28373.51367,28502.68555,26762.64844,26762.64844,,
13-06-2022,26737.57813,26795.58984,22141.25781,22487.38867,,
14-06-2022,22487.98633,23018.95117,20950.81836,22206.79297,,
15-06-2022,22196.73047,22642.67188,20178.37695,22572.83984,,
16-06-2022,22576.30469,22868.92188,20265.22656,20381.65039,,
17-06-2022,20385.71875,21243.3125,20326.51953,20471.48242,,
18-06-2022,20473.42578,20736.04102,17708.62305,19017.64258,,
19-06-2022,19010.90234,20683.82227,18067.15234,20553.27148,,
20-06-2022,20553.37109,20913.32227,19689.16992,20599.53711,,
21-06-2022,20594.29492,21620.62891,20415.0625,20710.59766,,
22-06-2022,20719.41406,20835.75,19848.07813,19987.0293,,
23-06-2022,19986.60742,21135.76172,19950.11719,21085.87695,,
24-06-2022,21084.64844,21472.91797,20777.51172,21231.65625,,
25-06-2022,21233.60938,21520.91406,20964.58594,21502.33789,,
26-06-2022,21496.49414,21783.72461,21016.26953,21027.29492,,
27-06-2022,21028.23828,21478.08984,20620.19922,20735.47852,,
28-06-2022,20731.54492,21164.42383,20228.8125,20280.63477,,
29-06-2022,20281.16992,20364.15625,19937.79102,20104.02344,,
30-06-2022,20108.3125,20141.16016,18729.65625,19784.72656,,
01-07-2022,19820.4707,20632.67188,19073.70898,19269.36719,,
02-07-2022,19274.83594,19371.74805,19027.08203,19242.25586,,
03-07-2022,19242.0957,19558.26953,18966.95117,19297.07617,,
04-07-2022,19297.31445,20258.74805,19063.06641,20231.26172,,
05-07-2022,20225.35352,20635.4668,19341.23242,20190.11523,,
06-07-2022,20194.61914,20595.5293,19823.51172,20548.24609,,
07-07-2022,20547.81445,21771.81641,20296.10352,21637.58789,,
08-07-2022,21637.1543,22314.94141,21257.45313,21731.11719,,
09-07-2022,21716.82813,21877.13867,21445.95703,21592.20703,,
10-07-2022,21591.08008,21591.08008,20727.12305,20860.44922,,
11-07-2022,20856.35352,20856.35352,19924.53906,19970.55664,,
12-07-2022,19970.47461,20043.44531,19308.53125,19323.91406,,
13-07-2022,19325.97266,20223.05273,18999.95313,20212.07422,,
14-07-2022,20211.4668,20789.89453,19689.25781,20569.91992,,
15-07-2022,20573.15625,21138.24414,20397,20836.32813,,
16-07-2022,20834.10352,21514.4043,20518.89844,21190.31641,,
17-07-2022,21195.04102,21600.64063,20778.17969,20779.34375,,
18-07-2022,20781.91211,22633.0332,20781.91211,22485.68945,,
19-07-2022,22467.84961,23666.96289,21683.40625,23389.43359,,
20-07-2022,23393.19141,24196.81836,23009.94922,23231.73242,,
21-07-2022,23233.20117,23388.32227,22431.14844,23164.62891,,
22-07-2022,23163.75195,23671.92773,22603.41602,22714.97852,,
23-07-2022,22706.98438,22977.21094,22002.91016,22465.47852,,
24-07-2022,22465.50977,22974.00195,22306.83984,22609.16406,,
25-07-2022,22607.15625,22649.12109,21361.64258,21361.70117,,
26-07-2022,21361.12109,21361.12109,20776.81641,21239.75391,,
27-07-2022,21244.16992,22986.5293,21070.80664,22930.54883,,
28-07-2022,22933.64063,24110.4707,22722.26563,23843.88672,,
29-07-2022,23845.21289,24294.78711,23481.17383,23804.63281,,
30-07-2022,23796.81836,24572.58008,23580.50781,23656.20703,,
31-07-2022,23652.07031,24121.64258,23275.70313,23336.89648,,
01-08-2022,23336.71875,23464.78711,22890.79688,23314.19922,,
02-08-2022,23308.43359,23415.04102,22710.08398,22978.11719,,
03-08-2022,22981.30273,23578.65039,22747.83594,22846.50781,,
04-08-2022,22848.21484,23198.00977,22485.70117,22630.95703,,
05-08-2022,22626.83398,23422.82813,22612.17773,23289.31445,,
06-08-2022,23291.42383,23326.5625,22961.2793,22961.2793,,
07-08-2022,22963.50586,23359.00977,22894.55664,23175.89063,,
08-08-2022,23179.52734,24203.68945,23176.54688,23809.48633,,
09-08-2022,23811.48438,23898.61523,22982,23164.31836,,
10-08-2022,23162.89844,24127.41406,22771.51953,23947.64258,,
11-08-2022,23948.3457,24822.62891,23900.99609,23957.5293,,
12-08-2022,23957.20313,24412.56641,23657.26563,24402.81836,,
13-08-2022,24402.1875,24860.05078,24346.11523,24424.06836,,
14-08-2022,24429.05664,24974.91406,24206.25977,24319.33398,,
15-08-2022,24318.31641,25135.58984,23839.77539,24136.97266,,
16-08-2022,24126.13672,24228.41602,23733.5,23883.29102,,
17-08-2022,23881.31641,24407.05859,23243.35352,23335.99805,,
18-08-2022,23341.03906,23563.83203,23177.60156,23212.73828,,
19-08-2022,23213.3125,23213.3125,20868.84766,20877.55273,,
20-08-2022,20872.8418,21350.80664,20856.73047,21166.06055,,
21-08-2022,21160.39258,21668.8457,21103.19727,21534.12109,,
22-08-2022,21531.46289,21531.46289,20939.18359,21398.9082,,
23-08-2022,21401.04492,21646.20313,20955.13867,21528.08789,,
24-08-2022,21526.45508,21783.07617,21195.00586,21395.01953,,
25-08-2022,21395.45898,21789.63672,21362.44141,21600.9043,,
26-08-2022,21596.08594,21804.9082,20199.48242,20260.01953,,
27-08-2022,20262.48047,20340.77539,19890.52344,20041.73828,,
28-08-2022,20041.03516,20139.05469,19616.81445,19616.81445,,
29-08-2022,19615.1543,20357.46289,19600.78516,20297.99414,,
30-08-2022,20298.61133,20542.64453,19617.64063,19796.80859,,
31-08-2022,19799.58203,20420.99023,19799.58203,20049.76367,,
01-09-2022,20050.49805,20198.39063,19653.96875,20127.14063,,
02-09-2022,20126.07227,20401.56836,19814.76563,19969.77148,,
03-09-2022,19969.71875,20037.00977,19698.35547,19832.08789,,
04-09-2022,19832.4707,19999.68945,19636.81641,19986.71289,,
05-09-2022,19988.78906,20031.16016,19673.04688,19812.37109,,
06-09-2022,19817.72461,20155.26953,18800.17188,18837.66797,,
07-09-2022,18837.68359,19427.17188,18644.4668,19290.32422,,
08-09-2022,19289.94141,19417.35156,19076.71484,19329.83398,,
09-09-2022,19328.14063,21439.41016,19310.96289,21381.15234,,
10-09-2022,21376.91211,21760.27539,21168.72266,21680.53906,,
11-09-2022,21678.54297,21770.55273,21406.94531,21769.25586,,
12-09-2022,21770.14844,22439.18164,21603.89648,22370.44922,,
13-09-2022,22371.48047,22673.82031,20062.66992,20296.70703,,
14-09-2022,20184.55469,20467.20117,19793.39648,20241.08984,,
15-09-2022,20242.28906,20318.16602,19636.73438,19701.21094,,
16-09-2022,19704.00586,19870.62891,19400.07617,19772.58398,,
17-09-2022,19777.0332,20162.53125,19777.0332,20127.57617,,
18-09-2022,20127.23438,20127.23438,19387.49219,19419.50586,,
19-09-2022,19418.57227,19639.48047,18390.31836,19544.12891,,
20-09-2022,19545.5918,19602.45703,18813.45508,18890.78906,,
21-09-2022,18891.2832,19674.63086,18290.31445,18547.40039,,
22-09-2022,18534.65039,19456.91016,18415.5918,19413.55078,,
23-09-2022,19412.40039,19464.67188,18617.55273,19297.63867,,
24-09-2022,19296.99023,19310.19727,18861.97461,18937.01172,,
25-09-2022,18936.31055,19134.73242,18696.46875,18802.09766,,
26-09-2022,18803.90039,19274.87305,18721.28516,19222.67188,,
27-09-2022,19221.83984,20338.45508,18915.66797,19110.54688,,
28-09-2022,19104.62109,19688.34375,18553.29688,19426.7207,,
29-09-2022,19427.7793,19589.26563,18924.35352,19573.05078,,
30-09-2022,19573.43164,20109.84961,19265.66211,19431.78906,,
01-10-2022,19431.10547,19471.1543,19231.08203,19312.0957,,
02-10-2022,19311.84961,19370.30859,18970.62109,19044.10742,,
03-10-2022,19044.06836,19653.54297,19025.22656,19623.58008,,
04-10-2022,19623.58398,20380.34375,19523.83984,20336.84375,,
05-10-2022,20335.90039,20343.74805,19801.80078,20160.7168,,
06-10-2022,20161.03906,20408.39258,19900.08789,19955.44336,,
07-10-2022,19957.55859,20041.08594,19395.79297,19546.84961,,
08-10-2022,19546.32813,19601.69531,19299.41406,19416.56836,,
09-10-2022,19417.47852,19542.53906,19349.25977,19446.42578,,
10-10-2022,19446.41602,19515.4668,19102.97852,19141.48438,,
11-10-2022,19139,19241.96094,18925.60352,19051.41797,,
12-10-2022,19052.64648,19203.19922,19029.75781,19157.44531,,
13-10-2022,19156.9668,19453.32813,18319.82227,19382.9043,,
14-10-2022,19382.5332,19889.14648,19115.4082,19185.65625,,
15-10-2022,19185.4375,19212.54102,19019.25,19067.63477,,
16-10-2022,19068.91406,19389.60352,19068.91406,19268.09375,,
17-10-2022,19268.5625,19635.80273,19173.33398,19550.75781,,
18-10-2022,19550.4668,19666.99414,19144.76953,19334.41602,,
19-10-2022,19335.02734,19348.41602,19127.6875,19139.53516,,
20-10-2022,19138.08594,19315.19922,18971.45898,19053.74023,,
21-10-2022,19053.20313,19237.38477,18770.9707,19172.46875,,
22-10-2022,19172.38086,19248.06836,19132.24414,19208.18945,,
23-10-2022,19207.73438,19646.65234,19124.19727,19567.00781,,
24-10-2022,19567.76953,19589.125,19206.32422,19345.57227,,
25-10-2022,19344.96484,20348.41211,19261.44727,20095.85742,,
26-10-2022,20092.23633,20938.13477,20076.11719,20770.44141,,
27-10-2022,20772.80273,20854.04492,20255.37305,20285.83594,,
28-10-2022,20287.95703,20724.98047,20086.06836,20595.35156,,
29-10-2022,20595.10352,20988.39453,20566.48438,20818.47656,,
30-10-2022,20817.98242,20917.00586,20547.46289,20635.60352,,
31-10-2022,20633.69531,20795.32031,20287.45898,20495.77344,,
01-11-2022,20494.89844,20647.28906,20359.8457,20485.27344,,
02-11-2022,20482.95898,20742.81055,20087.13477,20159.50391,,
03-11-2022,20162.68945,20382.0957,20086.24023,20209.98828,,
04-11-2022,20208.76953,21209.56055,20188.01953,21147.23047,,
05-11-2022,21144.83203,21446.88672,21097.63477,21282.69141,,
06-11-2022,21285.05664,21345.37695,20920.19141,20926.48633,,
07-11-2022,20924.62109,21053.24609,20489.97266,20602.81641,,
08-11-2022,20600.67188,20664.60742,17603.54492,18541.27148,,
09-11-2022,18543.76172,18590.45898,15682.69238,15880.78027,,
10-11-2022,15883.1582,18054.3125,15834.01855,17586.77148,,
11-11-2022,17583.25195,17650.94336,16543.48242,17034.29297,,
12-11-2022,17036.875,17066.67578,16651.77539,16799.18555,,
13-11-2022,16799.72266,16920.76563,16320.63477,16353.36523,,
14-11-2022,16352.02832,17109.32422,15872.94141,16618.19922,,
15-11-2022,16617.48438,17051.96289,16542.55078,16884.61328,,
16-11-2022,16884.3418,16960.29492,16430.11133,16669.43945,,
17-11-2022,16670.42578,16726.43945,16460.68359,16687.51758,,
18-11-2022,16687.91211,16947.05859,16564.61133,16697.77734,,
19-11-2022,16696.2207,16797.87695,16570.41016,16711.54688,,
20-11-2022,16712.91992,16746.7793,16248.69238,16291.83203,,
21-11-2022,16291.22363,16291.22363,15599.04688,15787.28418,,
22-11-2022,15782.30078,16253.04785,15656.60645,16189.76953,,
23-11-2022,16195.58887,16638.19336,16170.50293,16610.70703,,
24-11-2022,16611.63672,16771.47461,16501.76758,16604.46484,,
25-11-2022,16602.26953,16603.31641,16388.4043,16521.8418,,
26-11-2022,16521.57617,16666.86328,16416.22852,16464.28125,,
27-11-2022,16463.88281,16594.40625,16437.02539,16444.62695,,
28-11-2022,16440.22266,16482.93359,16054.53027,16217.32227,,
